DEPT,DPHI,GR,ILD,FORMATION
5015,5.619,100.402,9.748,1
5015.5,5.5,98.795,9.884,1
5016,5.342,97.992,9.96,1
5016.5,5.183,96.386,9.762,1
5017,5.025,95.582,9.896,1
5017.5,4.787,94.378,10.777,1
5018,4.351,91.566,11.033,1
5018.5,4.509,89.96,11.568,1
5019,5.064,86.747,11.904,1
5019.5,5.5,83.936,11.952,1
5020,6.214,81.928,11.726,1
5020.5,6.412,77.108,11.39,1
5021,6.531,76.707,11.355,1
5021.5,6.373,79.116,11.355,1
5022,6.293,79.92,11.355,1
5022.5,6.333,82.329,10.986,1
5023,6.293,84.337,10.441,1
5023.5,6.056,84.337,10.359,1
5024,5.976,84.337,10.167,1
5024.5,6.095,83.936,9.96,1
5025,5.699,83.936,10.338,1
5025.5,5.461,84.739,10.537,1
5026,5.342,85.542,10.736,1
5026.5,5.263,87.149,10.736,1
5027,5.263,89.157,10.736,1
5027.5,5.58,90.361,10.736,1
5028,5.699,91.566,10.712,1
5028.5,5.5,93.173,10.537,1
5029,5.342,95.181,10.537,1
5029.5,5.342,96.386,10.564,1
5030,5.223,95.181,10.736,1
5030.5,4.827,94.378,10.736,1
5031,4.668,93.976,10.783,1
5031.5,4.47,93.173,10.934,1
5032,4.232,93.976,10.934,1
5032.5,4.589,95.582,10.934,1
5033,5.064,93.574,10.934,1
5033.5,5.5,91.566,10.934,1
5034,5.619,86.747,11.337,1
5034.5,5.619,79.92,11.814,1
5035,5.659,75.904,12.326,1
5035.5,5.5,74.297,12.326,1
5036,5.263,73.092,12.326,1
5036.5,5.144,75.904,12.235,1
5037,5.144,80.321,11.502,1
5037.5,4.945,84.337,11.166,1
5038,4.827,87.149,10.897,1
5038.5,4.787,88.353,10.736,1
5039,4.866,85.542,11.245,1
5039.5,5.54,83.133,11.332,1
5040,6.056,80.321,11.332,1
5040.5,6.214,79.116,11.332,1
5041,5.857,79.518,11.526,1
5041.5,5.382,82.329,11.928,1
5042,4.945,83.534,11.928,1
5042.5,4.47,84.337,11.332,1
5043,5.025,84.337,11.332,1
5043.5,5.144,81.928,11.332,1
5044,4.945,80.723,11.332,1
5044.5,4.985,79.116,11.332,1
5045,4.945,83.133,11.332,1
5045.5,4.945,87.952,11.332,1
5046,5.263,91.968,11.165,1
5046.5,5.382,98.394,10.83,1
5047,5.263,100.803,10.555,1
5047.5,4.945,102.41,10.537,1
5048,4.708,100.402,10.537,1
5048.5,4.43,98.394,10.537,1
5049,4.232,95.984,10.537,1
5049.5,4.034,91.968,10.537,1
5050,4.113,95.372,10.53,1
5050.5,4.113,100.201,10.507,1
5051,4.232,105.03,9.836,1
5051.5,4.668,111.469,9.245,1
5052,5.342,113.481,8.964,1
5052.5,5.659,108.652,8.975,1
5053,5.778,102.616,9.485,1
5053.5,5.738,96.982,10.316,1
5054,5.619,91.348,10.751,1
5054.5,5.54,89.738,11.435,1
5055,5.778,87.324,11.819,1
5055.5,5.619,87.324,12.154,1
5056,5.421,87.324,12.302,1
5056.5,5.223,88.531,12.302,1
5057,4.906,92.555,12.006,1
5057.5,4.351,96.177,11.435,1
5058,4.945,101.006,10.64,1
5058.5,5.5,104.628,10.106,1
5059,5.302,106.237,10.119,1
5059.5,5.104,105.835,10.119,1
5060,4.787,105.03,10.119,1
5060.5,4.311,103.823,10.119,1
5061,3.875,101.408,10.119,1
5061.5,4.034,100.604,10.119,1
5062,4.192,99.396,10.362,1
5062.5,3.875,98.592,10.88,1
5063,3.796,98.189,11.033,1
5063.5,3.756,93.36,11.368,1
5064,3.994,91.751,11.704,1
5064.5,3.915,88.531,12.436,1
5065,3.994,82.897,12.573,1
5065.5,4.668,83.3,12.466,1
5066,5.421,86.519,11.312,1
5066.5,6.016,93.36,9.921,1
5067,6.809,102.616,10.119,1
5067.5,6.967,109.054,10.119,1
5068,6.69,109.457,10.119,1
5068.5,6.174,105.835,10.197,1
5069,5.857,99.799,10.868,1
5069.5,5.619,94.567,11.34,1
5070,5.183,92.958,11.508,1
5070.5,5.461,92.958,11.888,1
5071,5.5,93.763,11.905,1
5071.5,5.064,93.36,11.905,1
5072,5.104,91.348,12.317,1
5072.5,4.192,90.543,13.181,1
5073,3.875,90.141,13.69,1
5073.5,4.113,91.348,13.633,1
5074,4.034,94.567,13.095,1
5074.5,4.034,97.787,12.604,1
5075,4.113,98.994,12.202,1
5075.5,4.073,101.006,11.536,1
5076,3.994,101.811,10.948,1
5076.5,3.994,101.006,10.535,1
5077,3.915,101.006,10.516,1
5077.5,3.439,101.408,10.572,1
5078,3.201,99.396,10.714,1
5078.5,3.162,93.763,10.714,1
5079,3.162,91.751,10.718,1
5079.5,3.003,90.543,11.335,1
5080,3.162,90.141,12.698,1
5080.5,3.201,94.567,12.248,1
5081,3.28,98.189,11.706,1
5081.5,3.677,98.189,11.706,1
5082,4.192,98.592,11.361,1
5082.5,4.549,96.982,10.774,1
5083,4.747,94.97,11.036,1
5083.5,4.628,93.763,11.706,1
5084,4.232,92.958,11.706,1
5084.5,3.835,93.36,11.761,1
5085,3.796,92.958,11.905,1
5085.5,3.994,90.946,11.905,1
5086,4.311,88.531,11.905,1
5086.5,4.43,84.507,12.213,1
5087,4.549,80.885,12.578,1
5087.5,4.708,78.873,12.698,1
5088,4.866,79.276,12.545,1
5088.5,5.144,80.08,12.276,1
5089,5.461,80.885,11.94,1
5089.5,5.302,80.885,12.107,1
5090,5.223,81.69,12.302,1
5090.5,5.104,84.105,12.302,1
5091,5.104,84.507,12.302,1
5091.5,5.104,86.922,12.023,1
5092,5.382,90.946,11.648,1
5092.5,5.5,92.153,11.508,1
5093,5.58,92.555,11.775,1
5093.5,5.659,90.946,12.103,1
5094,5.5,88.934,12.103,1
5094.5,5.778,88.129,11.478,1
5095,5.976,86.519,10.959,1
5095.5,6.056,86.922,10.822,1
5096,6.174,87.324,10.714,1
5096.5,5.976,86.519,11.046,1
5097,6.135,84.507,11.348,1
5097.5,6.016,82.093,11.858,1
5098,6.214,80.483,12.217,1
5098.5,6.373,77.666,12.552,1
5099,6.452,76.861,12.888,1
